,crash_id,lat,long,street,severity,illumination,weather,road_conditon,year,day,hour,date,day_n_nite_dummy
155369,2019078679,40.4221,-79.991,BROSVILLE TE,1,1.0,3.0,1.0,2019,2,17.0,2019-8,True
155380,2019082612,40.4149,-80.0091,LIBERTY TN,1,1.0,3.0,1.0,2019,6,17.0,2019-8,True
155387,2019071735,40.3618,-80.0467,WASHINGTON RD,1,1.0,3.0,1.0,2019,3,17.0,2019-7,True
155391,2019078681,40.4734,-80.0135,MAYFIELD AV,1,1.0,3.0,1.0,2019,2,17.0,2019-8,True
155393,2019078683,40.4416,-80.2403,STEUBENVILLE PK,1,1.0,3.0,1.0,2019,2,17.0,2019-8,True
155394,2019078685,40.4162,-80.0673,HAWTHORNE AV,1,1.0,3.0,1.0,2019,2,17.0,2019-8,True
155401,2019068176,40.4387,-79.9973,GRANT ST,1,1.0,3.0,1.0,2019,1,17.0,2019-7,True
155412,2019078688,40.3171,-80.0885,WASHINGTON RD,1,1.0,3.0,1.0,2019,2,17.0,2019-8,True
155426,2019082689,40.6675,-80.0727,MOUNT PLEASANT RD,1,1.0,3.0,1.0,2019,6,17.0,2019-8,True
155453,2019061878,40.4473,-79.76,HAYMAKER RD,1,1.0,3.0,1.0,2019,2,17.0,2019-5,True
155513,2019078833,40.6334,-80.0595,WALLACE RD,1,1.0,3.0,1.0,2019,6,17.0,2019-8,True
155544,2019062263,40.3405,-80.0419,BETHEL CHURCH RD,1,1.0,3.0,1.0,2019,3,17.0,2019-6,True
155563,2019082877,40.4274,-79.7045,OLD WILLIAM PENN HW,1,1.0,3.0,1.0,2019,1,17.0,2019-8,True
155572,2019085989,40.4109,-79.9462,HAZELWOOD AV,1,1.0,3.0,1.0,2019,6,17.0,2019-8,True
155573,2019085993,40.4529,-80.0394,CORLISS TN,1,1.0,3.0,1.0,2019,2,17.0,2019-8,True
155591,2019082963,40.4884,-79.9372,62ND STREET BR,1,1.0,3.0,1.0,2019,6,17.0,2019-8,True
